,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20
A,0,6,5,7,9,13,16,12,14,22,17,27,32,17,28,28,47,41,35,32
A-tu,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
A.,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ABC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aah,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Abashed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Abbé,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
About,0,0,0,0,2,0,1,0,1,3,2,0,1,0,1,1,0,1,0,2
Above,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,2,0,0
Abroad,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Abrámovna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Absolute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Academy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
According,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Achilles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Achtung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Across,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Adam,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Adieu,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adjutant,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0
Adjutant-General,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Adjutants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Admirable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Admit,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Admitting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Adonai,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Adorable,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Adored,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
